ID,주차,유형,제목,모드,위험,법적·윤리 플래그,시점 재확인,게시 조건
V10,W13,본편,회통주의 방법론: 플랫폼·라이더·가게가 같은 테이블에 앉으면?,핫이슈,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
VX01,W14,특별편,심영업에게 묻다: 검찰·기업을 보는 사이론의 차이는?,시즌정리,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토 / 실명 개인 — 공적 역할 범위로 한정",V01·V06과 같음 — 공소청 출범 이후 시제로 질문을 고쳐 씀.,내용 및 공개 별도 승인
V11,W15,본편,"자본금융 집격의 경제학(CFG): 블랙록은 주식을 관리하나, 기업을 지배하나?",축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V12,W16,본편,자본금융 집격의 경제학(CFG): 신용평가사의 한 글자는 누구의 비용이 될까?,축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V13,W17,본편,"자본금융 집격의 경제학(CFG): 은행 위기, 손실은 누구에게 넘어가는가?",축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V14,W18,본편,힘·돈·멋 문명론: 앱스토어의 문을 가진 회사는 무엇을 결정하나?,축적사례,높음,"진행 중 소송·절차 — 결론 암시 금지 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토","Epic v. Apple 후속 명령·항소, 각국 앱마켓 규제 상태 확인.",원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V15,W19,본편,"힘·돈·멋 문명론: 추천 알고리즘은 취향을 돕나, 선택을 좁히나?",핫이슈,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V16,W21,본편,패턴 인식 자기 모델(PISM): 직원이 AI를 쓰면 회사의 판단도 바뀔까?,촬영갱신,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V17,W22,본편,패턴 인식 자기 모델(PISM): AI의 자신 있는 답을 왜 쉽게 믿을까?,축적사례,높음,실명 개인 — 공적 역할 범위로 한정,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V18,W23,본편,비법 법철학: 공개된 글이면 AI가 써도 되는가?,촬영갱신,높음,진행 중 소송·절차 — 결론 암시 금지 / 저작권 — 기사·영상 인용 범위 검토,NYT v. OpenAI·Microsoft 소송 진행 단계 확인. 진행 중 소송이므로 결론 암시 금지.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V19,W24,본편,상위레벨 기준점(ULBP): AI 데이터센터의 전기와 물은 누구의 것인가?,촬영갱신,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V20,W25,본편,"외장도덕 윤리학: AI 윤리 선언, 누가 멈추라고 말할 수 있나?",핫이슈,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",OpenAI Preparedness Framework의 촬영 시점 버전 번호와 개정일 명시.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
VX02,W26,특별편,메가행위자 해부: 블랙록·빅테크를 음모론 없이 읽는 법,시즌정리,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,내용 및 공개 별도 승인
V21,W27,본편,혹세무민 정치미디어론: 같은 사건인데 왜 전혀 다른 뉴스가 될까?,촬영갱신,높음,"저작권 — 기사·영상 인용 범위 검토 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V22,W28,본편,혹세무민 정치미디어론: FIFA의 공익과 중계권의 돈은 어떻게 연결되나?,축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V23,W29,본편,힘·돈·멋 문명론: 논문을 쓰고도 왜 다시 돈을 내고 읽을까?,축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V24,W30,본편,회통주의 방법론: 정정보도는 원래 기사만큼 사람에게 닿을까?,축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 저작권 — 기사·영상 인용 범위 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V25,W31,본편,"혹세무민 정치미디어론: 딥페이크 논쟁, 누구의 말부터 확인해야 하나?",핫이슈,높음,"합성·딥페이크 — 원본 재확산 금지, 합성 표시 / 실명 개인 — 공적 역할 범위로 한정 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V26,W33,본편,"비법 법철학: 가습기살균제 피해, 합법이라는 말로 끝낼 수 있나?",축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토 / 진행 중 소송·절차 — 결론 암시 금지",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V27,W34,본편,"비법 법철학: 티메프 정산 문제, 판매대금은 누구의 돈인가?",촬영갱신,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 진행 중 소송·절차 — 결론 암시 금지 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",티몬·위메프 회생·인수·파산 절차의 최신 단계 확인.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V28,W35,본편,"상위레벨 기준점(ULBP): 세월호 이후, 개인 처벌과 조직 개선은 어떻게 다른가?",축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V29,W36,본편,상위레벨 기준점(ULBP): 옛 회사가 사라지면 오염의 책임도 사라질까?,축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화)",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V30,W37,본편,집격론: 같은 재난을 두고 책임의 지도가 왜 다른가?,핫이슈,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 진행 중 소송·절차 — 결론 암시 금지 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",이태원 참사 형사재판(항소심 포함)·특별조사 진행 단계 확인.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
VX03,W38,특별편,합법·정당성·공동책임: 어려운 반론에 답합니다,시즌정리,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,내용 및 공개 별도 승인
V31,W39,본편,회통주의 방법론: 위키백과는 왜 틀린 내용을 고칠 수 있을까?,축적사례,중간,,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V32,W40,본편,회통주의 방법론: 메타의 판단을 뒤집는 기구는 얼마나 독립적인가?,촬영갱신,높음,실명 개인 — 공적 역할 범위로 한정,Meta의 2025년 콘텐츠 정책·팩트체크 제도 변경을 비교 자료로 추가 검토.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V33,W41,본편,"힘·돈·멋 문명론: 파타고니아, 좋은 브랜드와 다른 소유구조는 같은가?",축적사례,중간,,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V34,W42,본편,외장도덕 윤리학: 협동조합이면 자동으로 좋은 조직일까?,축적사례,중간,,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V35,W43,본편,"상위레벨 기준점(ULBP): 우리 동네 예산, 주민이 정말 바꿀 수 있나?",핫이슈,중간,,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V36,W45,본편,"사이론: 같은 홍수, 사람·도시·강의 시간은 어떻게 다른가?",축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화)",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V37,W46,본편,사이론: 브렉시트 뒤에도 함께 살아야 한다면?,촬영갱신,높음,,,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V38,W47,본편,패턴 인식 자기 모델(PISM): 내부고발자는 조직을 배신한 사람인가?,축적사례,높음,"실명 개인 — 공적 역할 범위로 한정 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V39,W48,본편,혹세무민 정치미디어론: 반론까지 읽으면 사건의 그림은 얼마나 달라질까?,축적사례,중간,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V40,W49,본편,"사이론: 검찰·빅테크·금융, 서로 다른 사건에 같은 질문을 던지면?",핫이슈,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
VX04,W50,특별편,"심업사상 9대이론, 현실을 읽는 아홉 질문",시즌정리,높음,,,내용 및 공개 별도 승인
