ID,시즌,공개제목,주이론,대표 학자,핵심 개념,원전,사이론 v0.37 준거 장,사이론 사례 색인,렌즈 학자(참고),계승점,비판점,사이론 보완,미토 프로토콜,사이 열기 슬롯,기존 대본,검토 출처
V11,S3,"자본금융 집격의 경제학(CFG): 블랙록은 주식을 관리하나, 기업을 지배하나?",자본금융 집격의 경제학(CFG) — 자본의 집격을 추적하는 법,카를 마르크스,주식회사와 소유·경영의 분리,『자본』 3권 27장,,"ESG 점수 — 하나의 가치로 잰 점수, 자기 보고 의존(5·15·16장)",마르크스·베버·폴라니·슘페터,자본·금융·관료제·시장과 경제 변동 분석,계급·시장·혁신 하나의 층위만으로 자본금융 집격의 정보·법·미디어·책임 연결을 다 설명하지 못할 수 있다. 실명 금융기관의 공모는 자료 없이는 단정하지 않는다.,자본금융 집격의 결정권·연결·이익·비용·응답 통로,Q7 스튜어드십·ESG가 자기 보고 점수에 머무는가(사이론 5장 ESG 단일 점수),,,CFG 원전·사이론 v0.36 결론; 경제학 원전·공개자료 확인
V12,S3,자본금융 집격의 경제학(CFG): 신용평가사의 한 글자는 누구의 비용이 될까?,자본금융 집격의 경제학(CFG) — 자본의 집격을 추적하는 법,막스 베버,계산 가능성과 형식적 합리화,『경제와 사회』(1922),,,마르크스·베버·폴라니·슘페터,자본·금융·관료제·시장과 경제 변동 분석,계급·시장·혁신 하나의 층위만으로 자본금융 집격의 정보·법·미디어·책임 연결을 다 설명하지 못할 수 있다. 실명 금융기관의 공모는 자료 없이는 단정하지 않는다.,자본금융 집격의 결정권·연결·이익·비용·응답 통로,Q1 등급이 과열 신호를 늦게 내는 구조,,,CFG 원전·사이론 v0.36 결론; 경제학 원전·공개자료 확인
V13,S3,"자본금융 집격의 경제학(CFG): 은행 위기, 손실은 누구에게 넘어가는가?",자본금융 집격의 경제학(CFG) — 자본의 집격을 추적하는 법,칼 폴라니,시장의 자기조정 신화와 사회의 이중운동,『거대한 전환』(1944),,2008 세계 금융위기 — 책임의 자리가 비는 방식(서문 F1),마르크스·베버·폴라니·슘페터,자본·금융·관료제·시장과 경제 변동 분석,계급·시장·혁신 하나의 층위만으로 자본금융 집격의 정보·법·미디어·책임 연결을 다 설명하지 못할 수 있다. 실명 금융기관의 공모는 자료 없이는 단정하지 않는다.,자본금융 집격의 결정권·연결·이익·비용·응답 통로,"Q1·Q2·Q3 대표회차 — 손실 이전과 제어 실패, 냉각기로서의 침체",,,CFG 원전·사이론 v0.36 결론; 경제학 원전·공개자료 확인
V14,S3,힘·돈·멋 문명론: 앱스토어의 문을 가진 회사는 무엇을 결정하나?,힘·돈·멋 문명론 — 무엇이 사람을 움직이는가,토머스 홉스,문을 가진 주권자 — 질서와 복종의 교환,『리바이어던』(1651),,,홉스·마르크스·베버·부르디외,강제력·자본·정당성·상징권력의 분석,"힘에서 돈, 돈에서 멋으로의 역사 서사를 필연적 진보로 만들지 않는다. 여러 권력 양식의 공존과 역행을 분석한다.",힘·돈·멋을 진단 축으로 사용하고 사이의 폐쇄·개방을 확인,Q5 플랫폼 수수료 규제의 기준,,,사이론 v0.36 18장·문명론 원전; 역사 사례 확인
V15,S3,"힘·돈·멋 문명론: 추천 알고리즘은 취향을 돕나, 선택을 좁히나?",힘·돈·멋 문명론 — 무엇이 사람을 움직이는가,피에르 부르디외,취향은 사회적으로 구별짓는다,『구별짓기』(1979),,,홉스·마르크스·베버·부르디외,강제력·자본·정당성·상징권력의 분석,"힘에서 돈, 돈에서 멋으로의 역사 서사를 필연적 진보로 만들지 않는다. 여러 권력 양식의 공존과 역행을 분석한다.",힘·돈·멋을 진단 축으로 사용하고 사이의 폐쇄·개방을 확인,Q6 주의(attention) 지표가 성장 지표를 대신할 때,,,사이론 v0.36 18장·문명론 원전; 역사 사례 확인
V16,S4,패턴 인식 자기 모델(PISM): 직원이 AI를 쓰면 회사의 판단도 바뀔까?,패턴 인식 자기 모델(PISM) — 사람은 왜 조직의 패턴을 자기 것처럼 받아들이는가,한나 아렌트,판단의 위임과 사유의 중단,『예루살렘의 아이히만』(1963),,"생성형 인공지능 — 유용함 하나의 최적화, 회사를 다섯 축으로 묻기(4·5·14·15장)",아렌트·푸코·부르디외·카너먼,순응·주체화·습속·판단 편향의 메커니즘,개인의 판단 중단·주체화·인지 편향만으로 조직 패턴과 책임 주소를 설명하면 집격의 조건이 흐려질 수 있다. 심리 실험의 범위를 사회 일반 법칙으로 확대하지 않는다.,개인의 판단기제와 여러 집격 패턴의 동기화를 분리,,,EP.03 「AI가 차별하면 누가 감옥 가나」(22분),사이론 v0.36 13장·PISM 원전; 학자 원전과 실증연구 확인
V17,S4,패턴 인식 자기 모델(PISM): AI의 자신 있는 답을 왜 쉽게 믿을까?,패턴 인식 자기 모델(PISM) — 사람은 왜 조직의 패턴을 자기 것처럼 받아들이는가,대니얼 카너먼,빠른 사고·과신·보이는 것이 전부라는 착각,『생각에 관한 생각』(2011),,생성형 인공지능 — 환각과 무기억(4·5장),아렌트·푸코·부르디외·카너먼,순응·주체화·습속·판단 편향의 메커니즘,개인의 판단 중단·주체화·인지 편향만으로 조직 패턴과 책임 주소를 설명하면 집격의 조건이 흐려질 수 있다. 심리 실험의 범위를 사회 일반 법칙으로 확대하지 않는다.,개인의 판단기제와 여러 집격 패턴의 동기화를 분리,,,EP.03 「AI가 차별하면 누가 감옥 가나」(22분),사이론 v0.36 13장·PISM 원전; 학자 원전과 실증연구 확인
V18,S4,비법 법철학: 공개된 글이면 AI가 써도 되는가?,비법 법철학 — 합법 형식 안의 구조적 폭력을 본다,로널드 드워킨,어려운 사건과 해석으로서의 법,『법의 제국』(1986),,,켈젠·하트·베버·드워킨,법의 형식·규칙·권위·해석의 정밀화,법적 유효성이나 절차적 정당성만으로 구조적 피해와 책임 전가가 사라지는 것은 아니다. 각 법철학자의 법/도덕 구분을 정확히 소개한다.,합법 형식 안의 구조적 폭력이라는 비법의 질문과 피해 당사자 기준,,,,사이론 v0.36 8장·17장; 비법 원전·법률자료 확인
V19,S4,상위레벨 기준점(ULBP): AI 데이터센터의 전기와 물은 누구의 것인가?,상위레벨 기준점(ULBP) — 더 넓게 보되 작은 피해를 지우지 않는 기준,공리주의 전통(벤담·밀),총합 효용과 소수 피해의 문제,벤담 『도덕과 입법의 원리 서설』(1789)·밀 『공리주의』(1861),,,칸트·롤스·공리주의 전통,보편성·공정성·더 넓은 판단 범위의 요구,보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.,"상위는 권력이 아니라 범위이며, 전체를 이유로 부분 피해를 지우지 않는 기준",Q6 AI 생산성과 전력·물의 물질 조건,,,사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요
V20,S4,"외장도덕 윤리학: AI 윤리 선언, 누가 멈추라고 말할 수 있나?",외장도덕 윤리학 — 좋은 개인이 조직의 폐쇄를 가릴 때,이마누엘 칸트,준칙의 보편화 — 선언과 행위의 일치,『도덕형이상학 정초』(1785),7장(칸트: 형식이 닫혀 있다는 것),,칸트·아렌트·레비나스,개인 양심·악의 평범성·타자 책임,개인의 덕성과 선의를 강조해 조직 경계·보상·침묵의 조건이 가려질 수 있다. 타자 윤리를 집격의 제도 책임으로 자동 환원하지 않는다.,외장도덕과 집격의 응답·기억·책임을 분리,,,대담 EP.02 「AI에게 책임을 물을 수 있는가」,사이론 v0.36 15·17장; 윤리학 원전 확인
V21,S5,혹세무민 정치미디어론: 같은 사건인데 왜 전혀 다른 뉴스가 될까?,혹세무민 정치미디어론 — 표방과 실제 사이를 추적한다,안토니오 그람시,헤게모니 — 동의를 만드는 상식의 틀,『옥중수고』(1929–35),18장(그람시: 무엇이 장악되는가를 말하지 않음),,그람시·하버마스·드보르·맥루언,헤게모니·공론장·스펙터클·매체 환경 분석,동의·미디어·프레임을 설명하면서 실제 결정권자·피해 당사자·수정 절차를 놓치지 않는다. 모든 언론 차이를 조작으로 단정하지 않는다.,표방·프레임·실제 피해·응답 통로 사이의 격차,,같은 발표를 다르게 읽는 두 보도 — 표방과 경계의 어긋남(15·18장),,사이론 v0.36 18장·혹세무민 원전; 기사 원문 대조
V22,S5,혹세무민 정치미디어론: FIFA의 공익과 중계권의 돈은 어떻게 연결되나?,혹세무민 정치미디어론 — 표방과 실제 사이를 추적한다,기 드보르,스펙터클 — 이미지가 매개하는 사회관계,『스펙터클의 사회』(1967),,,그람시·하버마스·드보르·맥루언,헤게모니·공론장·스펙터클·매체 환경 분석,동의·미디어·프레임을 설명하면서 실제 결정권자·피해 당사자·수정 절차를 놓치지 않는다. 모든 언론 차이를 조작으로 단정하지 않는다.,표방·프레임·실제 피해·응답 통로 사이의 격차,,,,사이론 v0.36 18장·혹세무민 원전; 기사 원문 대조
V23,S5,힘·돈·멋 문명론: 논문을 쓰고도 왜 다시 돈을 내고 읽을까?,힘·돈·멋 문명론 — 무엇이 사람을 움직이는가,피에르 부르디외,학술장과 상징자본,『호모 아카데미쿠스』(1984),,,홉스·마르크스·베버·부르디외,강제력·자본·정당성·상징권력의 분석,"힘에서 돈, 돈에서 멋으로의 역사 서사를 필연적 진보로 만들지 않는다. 여러 권력 양식의 공존과 역행을 분석한다.",힘·돈·멋을 진단 축으로 사용하고 사이의 폐쇄·개방을 확인,Q4 초과 이익과 지식 공유,,,사이론 v0.36 18장·문명론 원전; 역사 사례 확인
V24,S5,회통주의 방법론: 정정보도는 원래 기사만큼 사람에게 닿을까?,회통주의 방법론 — 다른 관점을 함께 통과시키는 법,한스게오르크 가다머,선입견과 지평 융합 — 이해는 수정된다,『진리와 방법』(1960),,,헤겔·가다머·하버마스·데리다,대화·역사성·인정·공론·차이와 해체의 자원,통합·합의·대화가 실제 권력 비대칭과 배제 조건을 감출 수 있다. 모든 차이를 화해시키는 방식으로 사용하지 않는다.,차이를 보존한 관점 이동과 응답·수정 가능한 사이,,,,사이론 v0.36 7–10장·19장; 해당 원전·연구문헌 확인
V25,S5,"혹세무민 정치미디어론: 딥페이크 논쟁, 누구의 말부터 확인해야 하나?",혹세무민 정치미디어론 — 표방과 실제 사이를 추적한다,마셜 맥루언,매체가 곧 메시지,『미디어의 이해』(1964),,,그람시·하버마스·드보르·맥루언,헤게모니·공론장·스펙터클·매체 환경 분석,동의·미디어·프레임을 설명하면서 실제 결정권자·피해 당사자·수정 절차를 놓치지 않는다. 모든 언론 차이를 조작으로 단정하지 않는다.,표방·프레임·실제 피해·응답 통로 사이의 격차,,,,사이론 v0.36 18장·혹세무민 원전; 기사 원문 대조
V26,S6,"비법 법철학: 가습기살균제 피해, 합법이라는 말로 끝낼 수 있나?",비법 법철학 — 합법 형식 안의 구조적 폭력을 본다,막스 베버,합법적 지배 — 합법성이 정당성을 대신할 때,『경제와 사회』(1922),,,켈젠·하트·베버·드워킨,법의 형식·규칙·권위·해석의 정밀화,법적 유효성이나 절차적 정당성만으로 구조적 피해와 책임 전가가 사라지는 것은 아니다. 각 법철학자의 법/도덕 구분을 정확히 소개한다.,합법 형식 안의 구조적 폭력이라는 비법의 질문과 피해 당사자 기준,,,,사이론 v0.36 8장·17장; 비법 원전·법률자료 확인
V27,S6,"비법 법철학: 티메프 정산 문제, 판매대금은 누구의 돈인가?",비법 법철학 — 합법 형식 안의 구조적 폭력을 본다,H. L. A. 하트,1차 규칙과 2차 규칙(승인·변경·재판),『법의 개념』(1961),,,켈젠·하트·베버·드워킨,법의 형식·규칙·권위·해석의 정밀화,법적 유효성이나 절차적 정당성만으로 구조적 피해와 책임 전가가 사라지는 것은 아니다. 각 법철학자의 법/도덕 구분을 정확히 소개한다.,합법 형식 안의 구조적 폭력이라는 비법의 질문과 피해 당사자 기준,Q5 외형 확장 경쟁과 정산 구조,,,사이론 v0.36 8장·17장; 비법 원전·법률자료 확인
V28,S6,"상위레벨 기준점(ULBP): 세월호 이후, 개인 처벌과 조직 개선은 어떻게 다른가?",상위레벨 기준점(ULBP) — 더 넓게 보되 작은 피해를 지우지 않는 기준,카를 야스퍼스,네 가지 죄 — 형사·정치·도덕·형이상학적 책임의 구별,『죄의 문제』(1946),17장(야스퍼스: 개인과 전체 사이를 말하지 않음),"세월호 — 사건은 세 시간이 만나는 관측선, 가족협의회, 증언집(4·14장)",칸트·롤스·공리주의 전통,보편성·공정성·더 넓은 판단 범위의 요구,보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.,"상위는 권력이 아니라 범위이며, 전체를 이유로 부분 피해를 지우지 않는 기준",,,"EP.01 「세월호 10년, 왜 아무도 책임지지 않았나」(20분), 대담 EP.01 세월호 유가족",사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요
V29,S6,상위레벨 기준점(ULBP): 옛 회사가 사라지면 오염의 책임도 사라질까?,상위레벨 기준점(ULBP) — 더 넓게 보되 작은 피해를 지우지 않는 기준,존 롤스,세대 간 정의 — 정의로운 저축 원칙,『정의론』(1971) §44,,,칸트·롤스·공리주의 전통,보편성·공정성·더 넓은 판단 범위의 요구,보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.,"상위는 권력이 아니라 범위이며, 전체를 이유로 부분 피해를 지우지 않는 기준",,,,사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요
V30,S6,집격론: 같은 재난을 두고 책임의 지도가 왜 다른가?,집격론 — 조직화된 집단을 읽는 법,미셸 푸코,통치성 — 인구·안전을 관리하는 권력,"『안전, 영토, 인구』(1977–78 강의)",,,푸코·부르디외·루만·리스트/페팃,권력·아비투스·사회체계·집단행위성 분석,권력의 작동이나 집단의 행위성을 설명해도 책임의 수신처와 행위자-구조 사이의 지속 패턴이 남을 수 있다. 해당 학자의 이론 전체를 “실패”로 단정하지 않는다.,집단행위자·집단구조·집격을 세 언표로 나누고 공동책임을 질문,,,,사이론 v0.36 11장·S-17a·S-28; 학자별 원전 확인
V31,S7,회통주의 방법론: 위키백과는 왜 틀린 내용을 고칠 수 있을까?,회통주의 방법론 — 다른 관점을 함께 통과시키는 법,위르겐 하버마스,공론장과 비판적 공중,『공론장의 구조변동』(1962),,,헤겔·가다머·하버마스·데리다,대화·역사성·인정·공론·차이와 해체의 자원,통합·합의·대화가 실제 권력 비대칭과 배제 조건을 감출 수 있다. 모든 차이를 화해시키는 방식으로 사용하지 않는다.,차이를 보존한 관점 이동과 응답·수정 가능한 사이,,,,사이론 v0.36 7–10장·19장; 해당 원전·연구문헌 확인
V32,S7,회통주의 방법론: 메타의 판단을 뒤집는 기구는 얼마나 독립적인가?,회통주의 방법론 — 다른 관점을 함께 통과시키는 법,자크 데리다,법과 정의의 간극,「법의 힘」(1990),,,헤겔·가다머·하버마스·데리다,대화·역사성·인정·공론·차이와 해체의 자원,통합·합의·대화가 실제 권력 비대칭과 배제 조건을 감출 수 있다. 모든 차이를 화해시키는 방식으로 사용하지 않는다.,차이를 보존한 관점 이동과 응답·수정 가능한 사이,,,,사이론 v0.36 7–10장·19장; 해당 원전·연구문헌 확인
V33,S7,"힘·돈·멋 문명론: 파타고니아, 좋은 브랜드와 다른 소유구조는 같은가?",힘·돈·멋 문명론 — 무엇이 사람을 움직이는가,막스 베버,윤리와 자본주의 정신의 결합,『프로테스탄트 윤리와 자본주의 정신』(1904–05),,,홉스·마르크스·베버·부르디외,강제력·자본·정당성·상징권력의 분석,"힘에서 돈, 돈에서 멋으로의 역사 서사를 필연적 진보로 만들지 않는다. 여러 권력 양식의 공존과 역행을 분석한다.",힘·돈·멋을 진단 축으로 사용하고 사이의 폐쇄·개방을 확인,Q4 소유구조 전환이라는 제도 응답,,,사이론 v0.36 18장·문명론 원전; 역사 사례 확인
V34,S7,외장도덕 윤리학: 협동조합이면 자동으로 좋은 조직일까?,외장도덕 윤리학 — 좋은 개인이 조직의 폐쇄를 가릴 때,이마누엘 칸트,목적의 왕국 — 사람을 수단으로만 대하지 않는 공동체,『도덕형이상학 정초』(1785),7장(칸트),,칸트·아렌트·레비나스,개인 양심·악의 평범성·타자 책임,개인의 덕성과 선의를 강조해 조직 경계·보상·침묵의 조건이 가려질 수 있다. 타자 윤리를 집격의 제도 책임으로 자동 환원하지 않는다.,외장도덕과 집격의 응답·기억·책임을 분리,,,,사이론 v0.36 15·17장; 윤리학 원전 확인
V35,S7,"상위레벨 기준점(ULBP): 우리 동네 예산, 주민이 정말 바꿀 수 있나?",상위레벨 기준점(ULBP) — 더 넓게 보되 작은 피해를 지우지 않는 기준,존 롤스,공적 이성과 시민의 정당화,『정치적 자유주의』(1993),,,칸트·롤스·공리주의 전통,보편성·공정성·더 넓은 판단 범위의 요구,보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.,"상위는 권력이 아니라 범위이며, 전체를 이유로 부분 피해를 지우지 않는 기준",,,,사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요
V36,S8,"사이론: 같은 홍수, 사람·도시·강의 시간은 어떻게 다른가?",사이론 — 중심 총론,마르틴 하이데거,시간성 — 존재는 시간 속에서 이해된다,『존재와 시간』(1927),4장(삼중시간: 베르그송·후설은 사회의 시간에 이름을 주지 않음),삼중시간 — 사건은 세 시간의 관측선(4장),파르메니데스·플라톤·데카르트·하이데거,존재·주체·구조를 정밀하게 구별한 문제의식,고정된 존재를 앞세우면 운행·관계·사이에서 생기는 작용이 주변화될 수 있다. 이는 각 철학자의 전체 사상을 부정하는 말이 아니라 사이론의 비판적 독법이다.,운행·靜動·사이·이행/병존/유보로 고정과 흐름을 함께 분석,,,,사이론 v0.36 서문·1–2장; 각 학자 원전·연구문헌은 회차별 확인
V37,S8,사이론: 브렉시트 뒤에도 함께 살아야 한다면?,사이론 — 중심 총론,파르메니데스,있음/없음의 이분 — 안이냐 밖이냐,단편 B8,2장(파르메니데스: 정지를 운동보다 앞세움),,파르메니데스·플라톤·데카르트·하이데거,존재·주체·구조를 정밀하게 구별한 문제의식,고정된 존재를 앞세우면 운행·관계·사이에서 생기는 작용이 주변화될 수 있다. 이는 각 철학자의 전체 사상을 부정하는 말이 아니라 사이론의 비판적 독법이다.,운행·靜動·사이·이행/병존/유보로 고정과 흐름을 함께 분석,,잔류·탈퇴 이후의 제도 — 이긴 뒤 조건을 열어 두는가(18·19장),,사이론 v0.36 서문·1–2장; 각 학자 원전·연구문헌은 회차별 확인
V38,S8,패턴 인식 자기 모델(PISM): 내부고발자는 조직을 배신한 사람인가?,패턴 인식 자기 모델(PISM) — 사람은 왜 조직의 패턴을 자기 것처럼 받아들이는가,한나 아렌트,악의 평범성과 판단하는 개인,『예루살렘의 아이히만』(1963),,"보잉 737 MAX의 안에서 묻힌 우려, 내부고발자 보호(12·17·19장)",아렌트·푸코·부르디외·카너먼,순응·주체화·습속·판단 편향의 메커니즘,개인의 판단 중단·주체화·인지 편향만으로 조직 패턴과 책임 주소를 설명하면 집격의 조건이 흐려질 수 있다. 심리 실험의 범위를 사회 일반 법칙으로 확대하지 않는다.,개인의 판단기제와 여러 집격 패턴의 동기화를 분리,,,,사이론 v0.36 13장·PISM 원전; 학자 원전과 실증연구 확인
V39,S8,혹세무민 정치미디어론: 반론까지 읽으면 사건의 그림은 얼마나 달라질까?,혹세무민 정치미디어론 — 표방과 실제 사이를 추적한다,위르겐 하버마스,타당성 주장과 비판 가능성,『사실성과 타당성』(1992),,,그람시·하버마스·드보르·맥루언,헤게모니·공론장·스펙터클·매체 환경 분석,동의·미디어·프레임을 설명하면서 실제 결정권자·피해 당사자·수정 절차를 놓치지 않는다. 모든 언론 차이를 조작으로 단정하지 않는다.,표방·프레임·실제 피해·응답 통로 사이의 격차,,반론을 읽으면 무엇이 다시 열리는가 — 응답·수정·조건 재설정(S-33),,사이론 v0.36 18장·혹세무민 원전; 기사 원문 대조
